VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
031.001.01.2023,1119187,RLH01,RLH01,,,
031.001.01.2024,1119187,RLH01,RLH01,,,
082.001.01.2024,1119187,RLH01,RLH01,,,
101.001.01.2024,1119187,RLH01,RLH01,,,
130.001.01.2024,1119187,RLH01,RLH01,,,
130.001.02.2024,1119187,RLH01,RLH01,,,
028.001.01.2022,1119187,RLH01,RLH01,,,
028.001.01.2023,1119187,RLH01,RLH01,,,
028.001.02.2022,1119187,RLH01,RLH01,,,
028.001.02.2023,1119187,RLH01,RLH01,,,
028.001.03.2022,1119187,RLH01,RLH01,,,
028.001.03.2023,1119187,RLH01,RLH01,,,
041.105.02.2024,1119187,RLH01,RLH01,,,
041.106.01.2023,1119187,RLH01,RLH01,,,
041.106.01.2024,1119187,RLH01,RLH01,,,
041.106.02.2023,1119187,RLH01,RLH01,,,
041.106.02.2024,1119187,RLH01,RLH01,,,
105.354.01.2024,1119187,RLH01,RLH01,,,
926.082.01.2023,1119187,RLH01,RLH01,,,
926.082.02.2022,1119187,RLH01,RLH01,,,
926.082.02.2023,1119187,RLH01,RLH01,,,
041.105.01.2023,1119187,RLH01,RLH01,,,
041.105.01.2024,1119187,RLH01,RLH01,,,
041.105.02.2023,1119187,RLH01,RLH01,,,
926.080.02.2023,1119187,RLH01,RLH01,,,
926.081.01.2023,1119187,RLH01,RLH01,,,
926.081.01.2024,1119187,RLH01,RLH01,,,
926.081.02.2022,1119187,RLH01,RLH01,,,
926.081.02.2023,1119187,RLH01,RLH01,,,
926.082.01.2022,1119187,RLH01,RLH01,,,
105.354.01.2023,1119187,RLH01,RLH01,,,
032.152.01.2022,1119187,RLH01,RLH01,,,
032.152.01.2023,1119187,RLH01,RLH01,,,
926.080.01.2022,1119187,RLH01,RLH01,,,
926.080.01.2023,1119187,RLH01,RLH01,,,
926.080.02.2022,1119187,RLH01,RLH01,,,
145.001.01.2020,1119186,RLV01,RLV01,,,
145.001.01.2021,1119186,RLV01,RLV01,,,
145.001.01.2022,1119186,RLV01,RLV01,,,
145.001.02.2020,1119186,RLV01,RLV01,,,
145.001.02.2021,1119186,RLV01,RLV01,,,
145.001.02.2022,1119186,RLV01,RLV01,,,
031.001.01.2023,1119186,RLV01,RLV01,,,
031.001.01.2024,1119186,RLV01,RLV01,,,
082.001.01.2024,1119186,RLV01,RLV01,,,
101.001.01.2024,1119186,RLV01,RLV01,,,
130.001.01.2024,1119186,RLV01,RLV01,,,
130.001.02.2024,1119186,RLV01,RLV01,,,
028.001.01.2022,1119186,RLV01,RLV01,,,
028.001.01.2023,1119186,RLV01,RLV01,,,
028.001.02.2022,1119186,RLV01,RLV01,,,
028.001.02.2023,1119186,RLV01,RLV01,,,
028.001.03.2022,1119186,RLV01,RLV01,,,
028.001.03.2023,1119186,RLV01,RLV01,,,
041.105.02.2023,1119186,RLV01,RLV01,,,
041.105.02.2024,1119186,RLV01,RLV01,,,
041.106.01.2023,1119186,RLV01,RLV01,,,
041.106.01.2024,1119186,RLV01,RLV01,,,
041.106.02.2023,1119186,RLV01,RLV01,,,
041.106.02.2024,1119186,RLV01,RLV01,,,
926.082.01.2022,1119186,RLV01,RLV01,,,
926.082.01.2023,1119186,RLV01,RLV01,,,
926.082.02.2022,1119186,RLV01,RLV01,,,
926.082.02.2023,1119186,RLV01,RLV01,,,
041.105.01.2023,1119186,RLV01,RLV01,,,
041.105.01.2024,1119186,RLV01,RLV01,,,
926.080.02.2022,1119186,RLV01,RLV01,,,
926.080.02.2023,1119186,RLV01,RLV01,,,
926.081.01.2023,1119186,RLV01,RLV01,,,
926.081.01.2024,1119186,RLV01,RLV01,,,
926.081.02.2022,1119186,RLV01,RLV01,,,
926.081.02.2023,1119186,RLV01,RLV01,,,
130.001.01.2024,1119185,SP125,SP125,,,
130.001.02.2024,1119185,SP125,SP125,,,
032.152.01.2022,1119186,RLV01,RLV01,,,
032.152.01.2023,1119186,RLV01,RLV01,,,
926.080.01.2022,1119186,RLV01,RLV01,,,
926.080.01.2023,1119186,RLV01,RLV01,,,
028.001.03.2022,1119185,SP125,SP125,,,
028.001.03.2023,1119185,SP125,SP125,,,
031.001.01.2023,1119185,SP125,SP125,,,
031.001.01.2024,1119185,SP125,SP125,,,
082.001.01.2024,1119185,SP125,SP125,,,
101.001.01.2024,1119185,SP125,SP125,,,
041.106.02.2023,1119185,SP125,SP125,,,
041.106.02.2024,1119185,SP125,SP125,,,
028.001.01.2022,1119185,SP125,SP125,,,
028.001.01.2023,1119185,SP125,SP125,,,
028.001.02.2022,1119185,SP125,SP125,,,
028.001.02.2023,1119185,SP125,SP125,,,
041.105.01.2023,1119185,SP125,SP125,,,
041.105.01.2024,1119185,SP125,SP125,,,
041.105.02.2023,1119185,SP125,SP125,,,
041.105.02.2024,1119185,SP125,SP125,,,
041.106.01.2023,1119185,SP125,SP125,,,
041.106.01.2024,1119185,SP125,SP125,,,
926.081.02.2022,1119185,SP125,SP125,,,
926.081.02.2023,1119185,SP125,SP125,,,
926.082.01.2022,1119185,SP125,SP125,,,
926.082.01.2023,1119185,SP125,SP125,,,
926.082.02.2022,1119185,SP125,SP125,,,
926.082.02.2023,1119185,SP125,SP125,,,
926.080.01.2022,1119185,SP125,SP125,,,
926.080.01.2023,1119185,SP125,SP125,,,
926.080.02.2022,1119185,SP125,SP125,,,
926.080.02.2023,1119185,SP125,SP125,,,
926.081.01.2023,1119185,SP125,SP125,,,
926.081.01.2024,1119185,SP125,SP125,,,
145.001.01.2020,1119184,SP316125,SP316125,,,
145.001.01.2021,1119184,SP316125,SP316125,,,
145.001.01.2022,1119184,SP316125,SP316125,,,
145.001.02.2020,1119184,SP316125,SP316125,,,
145.001.02.2021,1119184,SP316125,SP316125,,,
145.001.02.2022,1119184,SP316125,SP316125,,,
028.001.03.2023,1119184,SP316125,SP316125,,,
031.001.01.2023,1119184,SP316125,SP316125,,,
031.001.01.2024,1119184,SP316125,SP316125,,,
082.001.01.2024,1119184,SP316125,SP316125,,,
130.001.01.2024,1119184,SP316125,SP316125,,,
130.001.02.2024,1119184,SP316125,SP316125,,,
041.106.02.2024,1119184,SP316125,SP316125,,,
028.001.01.2022,1119184,SP316125,SP316125,,,
028.001.01.2023,1119184,SP316125,SP316125,,,
028.001.02.2022,1119184,SP316125,SP316125,,,
028.001.02.2023,1119184,SP316125,SP316125,,,
028.001.03.2022,1119184,SP316125,SP316125,,,
041.105.01.2024,1119184,SP316125,SP316125,,,
041.105.02.2023,1119184,SP316125,SP316125,,,
041.105.02.2024,1119184,SP316125,SP316125,,,
041.106.01.2023,1119184,SP316125,SP316125,,,
041.106.01.2024,1119184,SP316125,SP316125,,,
041.106.02.2023,1119184,SP316125,SP316125,,,
145.001.02.2020,1119054,WL20-203MM,WL20-203MM,,,
145.001.02.2021,1119054,WL20-203MM,WL20-203MM,,,
145.001.02.2022,1119054,WL20-203MM,WL20-203MM,,,
032.152.01.2022,1119184,SP316125,SP316125,,,
032.152.01.2023,1119184,SP316125,SP316125,,,
041.105.01.2023,1119184,SP316125,SP316125,,,
129.001.01.2023,1119054,WL20-203MM,WL20-203MM,,,
129.001.01.2024,1119054,WL20-203MM,WL20-203MM,,,
130.001.02.2024,1119054,WL20-203MM,WL20-203MM,,,
145.001.01.2020,1119054,WL20-203MM,WL20-203MM,,,
145.001.01.2021,1119054,WL20-203MM,WL20-203MM,,,
145.001.01.2022,1119054,WL20-203MM,WL20-203MM,,,
125.001.01.2023,1119054,WL20-203MM,WL20-203MM,1202,Front/rear,"{""Position(33)"" = ""Front/rear(1202)""}"
125.001.01.2024,1119054,WL20-203MM,WL20-203MM,,,
125.001.02.2023,1119054,WL20-203MM,WL20-203MM,,,
