file,line,column,type,code,message,docs,severity,link
sync-sku-from-compatibility.php,156,130,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$product_code'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=156
sync-sku-from-compatibility.php,156,178,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$new_part_number'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=156
sync-sku-from-compatibility.php,160,21,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$result&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=160
sync-sku-from-compatibility.php,160,31,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=160
sync-sku-from-compatibility.php,171,72,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$wc_product_id'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=171
sync-sku-from-compatibility.php,171,108,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$sku'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=171
sync-sku-from-compatibility.php,171,128,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$product_code'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=171
sync-sku-from-compatibility.php,171,176,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$new_part_number'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=171
sync-sku-from-compatibility.php,174,70,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$wc_product_id'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=174
sync-sku-from-compatibility.php,188,69,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$sku_inserted'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=188
